-	genebook|voltage-gated_calcium_channel_genes	genebook|nmdar	genebook|arc	genebook|synaptic_vesicle	genebook|pre-synapse	genebook|pre-synaptic_active_zone	Weingarten_2014|pre-synapse	Boyken_2013|synaptic_vesicle_docking
ENSG00000049130	-2.695780360976902	1.764794578157514	0.6906712101831928	1.606664411402311	1.5493095882815362	0.7250117856102429	0.6111558177667064	-1.3040110728449188
ENSG00000139324	-3.9159434479465896	-4.773943433600163	-2.9676874553139365	-5.800418464184323	-5.43102851273316	-4.463869326292818	-5.294040967952137	-1.6731379677853808
ENSG00000198707	-3.1520631976475864	-5.852734818181247	-4.921167530105681	-8.46187697337219	-8.586109807428535	-7.351461638177368	-8.475295981931616	-3.770133307686614
ENSG00000133641	-0.9362071739200012	4.71052018726041	0.9540341178906823	4.697334585732268	5.14252775603	4.841816716165106	4.890610882387526	4.195054783300047
ENSG00000165805	-0.2233361352917385	1.8937220844454008	0.5278012782316466	2.7143505389785565	2.9441266463251385	2.8395360089538144	2.9724539887347396	2.5669714382249853
ENSG00000182050	3.331927888860761	11.813123620650382	6.415452087043819	11.899225009469085	11.958703907144956	10.843768068806432	10.948773494741967	8.17141056293037
ENSG00000198774	-3.9638387139031694	-0.9395478549331077	-1.827197277086312	-1.3628579129248795	-1.4309964107418738	-2.306686744899489	-2.285301909698977	-3.550143466200622
ENSG00000133640	1.2036479665242705	3.9963802325757984	2.3311057885961333	4.507972942374948	4.185298520819653	3.5125368831413084	4.076955671221593	3.527707433350628
ENSG00000072041	5.320598012983924	5.505890148994891	2.5900007748284897	8.797833235369817	8.657822565300798	7.74673049016641	9.333413023697641	6.583856215946206
ENSG00000179104	3.8151721932152345	2.267991913059334	3.8341239638449744	3.8342379612203272	3.254732427937929	2.430896350238239	3.0190330452619047	-1.6903540006151374
ENSG00000118508	-2.5478507094180807	-0.783955717908843	-0.7305730641728794	-0.35445895242633835	-0.3281626094568703	-0.7334253448938596	-0.08587854444011833	-0.6118017406266012
ENSG00000127720	-2.8428192279905073	-0.9655817162140882	-1.8993156550517236	-0.9508962705868973	-0.7970066761764516	-0.6558361574293119	-0.01928750536286459	3.007842435543396
ENSG00000133773	-2.154128643825213	-1.668516765182158	-1.007271824385193	-1.7420947386101158	-1.5067366832087856	-1.1027120575539642	-1.2599991367110905	1.0114745455666778
ENSG00000139220	2.325177596169584	5.800660016532279	1.626030819575902	5.38724670645522	5.597693302987128	5.329808626309692	5.0879095948740405	4.1782066781833755
ENSG00000152822	4.122525309618519	10.420128909378578	5.496114464531912	9.50944265194996	9.227245391438059	8.325778718994998	8.57802930697497	6.054067471915459
ENSG00000111052	9.261688122095274	10.220204668907481	3.8300266502838816	13.120664255420056	12.816566236528438	11.309229327681818	13.226079003847477	6.384658675019545
ENSG00000058272	-1.6148714795244254	-1.3453617014580437	-2.075201193703761	-0.5542945106737507	-0.4753554817062331	-0.5364100957051441	-0.5042883779550306	-0.4939079732720896
ENSG00000177425	-5.88648487015118	-5.58374088890562	-1.7952062536714606	-5.651307197411437	-5.438616395651194	-4.328192246555584	-5.256411564653394	-4.30709176443375
ENSG00000067715	6.503737770126202	10.680893495544101	5.695138723339972	12.220512808662633	12.477514337387774	11.666945446778792	11.783675034358899	10.138937300068685
ENSG00000067798	-0.2105571147980228	6.553583838353834	2.848469440263619	6.878363999682264	6.7122053337868754	6.038159888058389	5.862957418868807	4.013567342993178
ENSG00000165891	-2.0751242673997154	1.791574125650666	0.2523212848606044	2.0706733121177217	1.8708230654099423	0.6811470595810829	0.3590574930396631	-0.5387911526302739
ENSG00000175183	-4.891030606296654	0.6069133494045788	0.18137042993680694	0.3087615767236735	0.1161997061366115	-0.8431535978169834	-0.5977229900640532	-2.5687371421919782
ENSG00000186908	2.918437458380121	0.797151211535432	-0.9713765549181314	2.1770183290599454	1.705028467573081	1.0636324706850497	1.5916399890269324	0.7363054049109816
ENSG00000089009	-0.4732762337574226	1.5000048052114916	1.1917768667585804	4.1423448715954265	4.526893748719056	3.9734906472672398	4.789863451472577	4.980564414351401
ENSG00000091039	-5.052407265697268	-3.1565318137539493	-2.147881754195482	-5.22559589434072	-5.43186670787586	-4.724447461825098	-5.82623055656943	-2.2400157151413054
